Home Win/Loss,Home Team Streak,Away Team Streak,record_home,record_away,fg_pct_home Rolling Avg,fg_pct_away Rolling Avg,fg3_pct_home Rolling Avg,fg3_pct_away Rolling Avg,ft_pct_home Rolling Avg,ft_pct_away Rolling Avg,reb_home Rolling Avg,reb_away Rolling Avg,ast_home Rolling Avg,ast_away Rolling Avg,stl_home Rolling Avg,stl_away Rolling Avg,blk_home Rolling Avg,blk_away Rolling Avg,tov_home Rolling Avg,tov_away Rolling Avg,plus_minus_home Rolling Avg,plus_minus_away Rolling Avg
W,0.0,0.0,0.5,0.6666666666666666,0.44800000000000006,0.48019999999999996,0.3706,0.37479999999999997,0.7256,0.8274000000000001,42.8,44.8,24.6,24.2,8.4,6.8,5.0,6.6,11.8,12.2,-2.2,2.8
W,0.0,0.0,0.16666666666666666,0.42857142857142855,0.4744,0.44420000000000004,0.32839999999999997,0.4142,0.7934,0.8160000000000001,39.0,47.6,25.0,29.4,6.0,5.2,8.2,7.8,12.4,14.0,-6.0,-0.2
W,1.0,0.0,0.7142857142857143,0.6666666666666666,0.45380000000000004,0.49800000000000005,0.3326,0.4128,0.718,0.7422,43.6,40.0,26.8,23.6,9.4,7.0,7.0,5.8,16.6,14.6,-2.4,-2.0
L,1.0,0.0,0.2857142857142857,0.42857142857142855,0.487,0.4614,0.3276,0.3876,0.8454,0.8718,38.0,44.2,25.0,24.8,7.6,9.2,7.4,4.8,13.8,14.6,-5.4,-1.8
W,3.0,0.0,1.0,0.5714285714285714,0.4976,0.4866,0.3488,0.3206,0.8176,0.709,44.2,45.6,30.6,26.6,8.6,9.8,4.6,5.8,13.6,13.8,14.4,2.6
W,2.0,0.0,0.5,0.14285714285714285,0.4508,0.45519999999999994,0.279,0.308,0.7892,0.7476,46.4,45.4,24.8,20.4,9.6,5.4,5.4,5.4,11.4,12.6,2.6,-3.8
W,0.0,0.0,0.2857142857142857,0.42857142857142855,0.445,0.4664,0.3432,0.3408,0.8628,0.8128,40.2,43.6,24.8,27.2,8.6,6.8,3.0,4.8,13.4,15.0,-0.6,-6.4
L,0.0,0.0,0.5,0.42857142857142855,0.5105999999999999,0.4692,0.438,0.3502,0.8002,0.7834,38.4,42.4,26.6,24.0,9.4,6.8,4.8,4.8,13.8,14.2,7.6,-4.8
W,1.0,0.0,0.16666666666666666,0.6666666666666666,0.4272,0.4918,0.2784,0.3852,0.7676000000000001,0.7788,46.2,41.4,23.6,27.0,8.6,8.6,5.6,3.6,13.6,14.8,-3.4,4.2
L,2.0,1.0,0.7142857142857143,0.5714285714285714,0.4694,0.4504,0.40199999999999997,0.37439999999999996,0.7630000000000001,0.7572,45.6,43.4,32.4,24.6,7.0,9.2,3.8,6.0,16.8,10.2,4.0,4.6
