Home Team,Away Team,Game Date,Winner,Home Win/Loss,fg_pct_home,fg3_pct_home,ft_pct_home,reb_home,ast_home,stl_home,blk_home,tov_home,plus_minus_home,fg_pct_away,fg3_pct_away,ft_pct_away,reb_away,ast_away,stl_away,blk_away,tov_away,plus_minus_away
DAL,UTA,2022-11-02,DAL,W,0.5,0.289,0.533,37.0,20.0,9.0,4.0,12.0,3,0.464,0.333,0.857,40.0,28.0,6.0,1.0,17.0,-3
OKC,DEN,2022-11-03,DEN,L,0.484,0.207,0.737,40.0,19.0,9.0,5.0,10.0,-12,0.536,0.581,0.875,47.0,32.0,5.0,2.0,20.0,12
ORL,GSW,2022-11-03,ORL,W,0.538,0.433,0.717,46.0,20.0,9.0,6.0,19.0,1,0.515,0.442,0.667,35.0,31.0,5.0,3.0,14.0,-1
DET,CLE,2022-11-04,CLE,L,0.373,0.351,0.867,34.0,16.0,10.0,6.0,19.0,-24,0.543,0.423,0.813,47.0,30.0,5.0,13.0,19.0,24
DAL,TOR,2022-11-04,DAL,W,0.506,0.353,0.84,31.0,23.0,12.0,3.0,19.0,1,0.443,0.324,0.84,44.0,20.0,10.0,4.0,19.0,-1
PHI,NYK,2022-11-04,NYK,L,0.378,0.277,0.81,44.0,27.0,12.0,8.0,15.0,-2,0.463,0.273,0.852,50.0,24.0,5.0,8.0,22.0,2
IND,MIA,2022-11-04,IND,W,0.463,0.308,0.652,42.0,28.0,7.0,5.0,19.0,2,0.383,0.282,1.0,42.0,17.0,10.0,2.0,19.0,-2
NOP,GSW,2022-11-04,NOP,W,0.506,0.414,0.69,37.0,24.0,10.0,2.0,16.0,9,0.493,0.375,0.92,29.0,23.0,7.0,1.0,23.0,-9
SAS,LAC,2022-11-04,LAC,L,0.477,0.387,0.556,35.0,23.0,7.0,2.0,13.0,-7,0.525,0.455,0.737,44.0,26.0,6.0,5.0,16.0,7
LAL,UTA,2022-11-04,UTA,L,0.482,0.423,0.893,40.0,22.0,6.0,6.0,11.0,-14,0.505,0.425,0.9,48.0,31.0,8.0,3.0,8.0,14
PHX,POR,2022-11-04,POR,L,0.434,0.412,0.952,39.0,26.0,8.0,4.0,17.0,-2,0.506,0.435,0.8,42.0,30.0,6.0,3.0,18.0,2
WAS,BKN,2022-11-04,BKN,L,0.361,0.235,0.818,39.0,18.0,4.0,3.0,13.0,-42,0.556,0.5,1.0,48.0,32.0,8.0,7.0,9.0,42
MEM,CHA,2022-11-04,MEM,W,0.51,0.444,0.778,60.0,34.0,6.0,10.0,19.0,31,0.384,0.296,0.806,41.0,22.0,11.0,7.0,18.0,-31
BOS,CHI,2022-11-04,BOS,W,0.494,0.29,0.821,39.0,24.0,5.0,7.0,14.0,4,0.518,0.393,0.88,37.0,21.0,8.0,5.0,17.0,-4
MIN,MIL,2022-11-04,MIL,L,0.424,0.268,0.765,47.0,22.0,2.0,4.0,16.0,-13,0.482,0.447,0.571,51.0,29.0,7.0,2.0,13.0,13
MIN,HOU,2022-11-05,MIN,W,0.613,0.455,0.8,36.0,38.0,11.0,5.0,24.0,12,0.476,0.421,0.677,33.0,27.0,10.0,0.0,23.0,-12
PHX,POR,2022-11-05,PHX,W,0.427,0.367,0.75,44.0,22.0,7.0,14.0,14.0,20,0.38,0.467,0.625,40.0,22.0,5.0,7.0,18.0,-20
DEN,SAS,2022-11-05,DEN,W,0.609,0.517,0.5,47.0,37.0,10.0,0.0,18.0,25,0.488,0.4,0.579,28.0,28.0,8.0,3.0,15.0,-25
CHA,BKN,2022-11-05,BKN,L,0.372,0.333,0.696,50.0,22.0,3.0,6.0,15.0,-4,0.393,0.333,0.909,41.0,23.0,8.0,10.0,11.0,4
ORL,SAC,2022-11-05,SAC,L,0.543,0.174,0.95,48.0,27.0,8.0,4.0,18.0,-3,0.505,0.375,0.654,36.0,24.0,5.0,4.0,14.0,3
NYK,BOS,2022-11-05,BOS,L,0.511,0.407,0.938,44.0,22.0,6.0,4.0,14.0,-15,0.534,0.529,1.0,34.0,30.0,5.0,2.0,13.0,15
ATL,NOP,2022-11-05,ATL,W,0.456,0.25,0.84,50.0,28.0,12.0,8.0,13.0,3,0.435,0.304,0.714,59.0,23.0,8.0,6.0,16.0,-3
MIL,OKC,2022-11-05,MIL,W,0.422,0.362,0.882,55.0,23.0,7.0,6.0,19.0,14,0.429,0.343,0.625,38.0,22.0,6.0,3.0,16.0,-14
LAL,CLE,2022-11-06,CLE,L,0.46,0.296,0.571,43.0,24.0,4.0,4.0,17.0,-14,0.44,0.25,0.889,48.0,19.0,7.0,6.0,14.0,14
TOR,CHI,2022-11-06,TOR,W,0.427,0.27,0.75,52.0,28.0,11.0,10.0,9.0,9,0.455,0.361,0.846,46.0,27.0,5.0,10.0,17.0,-9
LAC,UTA,2022-11-06,UTA,L,0.494,0.242,0.615,32.0,22.0,11.0,2.0,14.0,-8,0.467,0.375,0.962,42.0,18.0,5.0,4.0,21.0,8
MEM,WAS,2022-11-06,MEM,W,0.429,0.31,0.8,50.0,20.0,8.0,2.0,11.0,6,0.427,0.195,0.7,49.0,25.0,5.0,5.0,10.0,-6
MIA,POR,2022-11-07,POR,L,0.476,0.359,0.867,32.0,28.0,11.0,2.0,12.0,-3,0.528,0.432,0.857,37.0,27.0,7.0,2.0,19.0,3
PHI,PHX,2022-11-07,PHI,W,0.388,0.375,0.839,48.0,22.0,5.0,6.0,16.0,12,0.438,0.316,0.818,37.0,19.0,8.0,5.0,15.0,-12
GSW,SAC,2022-11-07,GSW,W,0.5,0.368,0.667,48.0,28.0,5.0,4.0,15.0,3,0.407,0.35,0.862,43.0,24.0,9.0,0.0,11.0,-3
